"Cod_TSE","Cod_IBGE","UF","localidade"
"52558","3162807","MG","SAO JOAO EVANGELISTA"
"12114","2210607","PI","SAO RAIMUNDO NONATO"
"53414","3167103","MG","SERRO"
"12157","2210805","PI","SIMPLICIO MENDES"
"53538","3167707","MG","SOBRALIA"
"2810","1304203","AM","TEFE"
"41130","3105707","MG","BARRA LONGA"
"1007","1200138","AC","BUJARI"
"10430","2202208","PI","CAMPO MAIOR"
"16497","2402501","RN","CARNAUBAIS"
"10570","2202901","PI","CORRENTE"
"47155","3135803","MG","JEQUITINHONHA"
"40967","3138351","MG","LEME DO PRADO"
"56715","3203601","ES","MUCURICI"
"24899","2609501","PE","NAZARE DA MATA"
"98159","5007950","MS","TACURU"
"39195","2931004","BA","TANHACU"
"26050","2615300","PE","TIMBAUBA"
"92371","1701903","TO","ARAGUACEMA"
"33979","2904902","BA","CACHOEIRA"
"44431","3122207","MG","DIVINOLANDIA DE MINAS"
"92185","1707108","TO","DIVINOPOLIS"
"93939","5209903","GO","IACIARA"
"36218","2916005","BA","ITANHEM"
"47830","3139201","MG","MALACACHETA"
"17698","2408508","RN","OURO BRANCO"
"4782","1505635","PA","PICARRA"
"73571","1718451","TO","PUGMIL"
"45098","3125507","MG","SAO GONCALO DO RIO PRETO"
"16225","2411056","RN","TIBAU"
"22390","2516904","PB","UIRAUNA"
"40118","3100609","MG","AGUA BOA"
"27138","2700706","AL","BATALHA"
"31453","2802304","SE","FREI PAULO"
"75388","4108650","PR","GOIOXIM"
"35432","2912202","BA","IBICOARA"
"35572","2912806","BA","IBIRAPUA"
"14397","2306900","CE","JAGUARIBE"
"36870","2919306","BA","LENCOIS"
"353","1100296","RO","SANTA LUZIA DO OESTE"
"51691","3158508","MG","SANTANA DE PIRAPAMA"
"11878","2209401","PI","SANTO ANTONIO DE LISBOA"
"41564","3161056","MG","SAO FELIX DE MINAS"
"92762","5221080","GO","TERESINA DE GOIAS"
"75108","4101655","PR","ARAPUA"
"34258","2906303","BA","CANAVIEIRAS"
"24350","2606804","PE","IGARASSU"
"47570","3137908","MG","LAMIM"
"4103","1504059","PA","MAE DO RIO"
"54313","3171501","MG","MATHIAS LOBATO"
"91219","5106109","MT","NOSSA SENHORA DO LIVRAMENTO"
"95273","1716604","TO","PEIXE"
"74705","4121257","PR","RAMILANDIA"
"69612","3543006","SP","RIBEIRAO BRANCO"
"74748","4122156","PR","RIO BONITO DO IGUACU"
"5339","1506708","PA","SANTANA DO ARAGUAIA"
"42366","3164472","MG","SAO SEBASTIAO DO ANTA"
"92681","1720499","TO","SAO VALERIO DA NATIVIDADE"
"84840","4322152","RS","TUNAS"
"42072","3110400","MG","CAMACHO"
"73482","1705102","TO","CHAPADA DA NATIVIDADE"
"13838","2304103","CE","CRATEUS"
"45152","3125804","MG","FERNANDES TOURINHO"
"73369","1711506","TO","JAU DO TOCANTINS"
"24759","2608800","PE","LAJEDO"
"73563","1713700","TO","MONTE SANTO"
"48976","3144904","MG","NOVA MODICA"
"75760","4117271","PR","NOVA TEBAS"
"41360","3150539","MG","PINGO DAGUA"
"28711","2708600","AL","SAO MIGUEL DOS CAMPOS"
"73318","1702158","TO","ARAGUANA"
"40061","3112653","MG","CAPITAO ANDRADE"
"74004","4108551","PR","GODOY MOREIRA"
"35955","2914703","BA","ITABERABA"
"46655","3133303","MG","ITAOBIM"
"17639","2408201","RN","NISIA FLORESTA"
"88889","4314068","RS","PASSA SETE"
"40908","3170578","MG","VARGEM ALEGRE"
"84557","4100459","PR","ALTAMIRA DO PARANA"
"13196","2301000","CE","AQUIRAZ"
"40894","3104502","MG","ARINOS"
"655","1100072","RO","CORUMBIARA"
"42226","3130556","MG","IMBE DE MINAS"
"61948","3522653","SP","ITAPIRAPUA PAULISTA"
"90565","5104906","MT","JANGADA"
"89915","5105002","MT","JAURU"
"5916","1505486","PA","PACAJA"
"17779","2408904","RN","PARELHAS"
"49751","3148806","MG","PEDRA DO ANTA"
"5290","1506500","PA","SANTA IZABEL DO PARA"
"5312","1506609","PA","SANTA MARIA DO PARA"
"38717","2928604","BA","SANTO AMARO"
"5517","1507607","PA","SAO MIGUEL DO GUAMA"
"1490","1200708","AC","XAPURI"
"40410","3102100","MG","ALTO RIO DOCE"
"33197","2901007","BA","AMARGOSA"
"81221","4202131","SC","BELA VISTA DO TOLDO"
"13536","2302701","CE","CAMPOS SALES"
"42757","3113800","MG","CARMESIA"
"75019","4105201","PR","CERRO AZUL"
"44350","3121803","MG","DIONISIO"
"31410","2802106","SE","ESTANCIA"
"75485","4115457","PR","MARQUINHO"
"55042","5006259","MS","NOVO HORIZONTE DO SUL"
"38431","2927101","BA","RODELAS"
"5479","1507409","PA","SAO FRANCISCO DO PARA"
"15636","2313104","CE","TABULEIRO DO NORTE"
"18813","2414209","RN","TIBAU DO SUL"
"96210","1721208","TO","TOCANTINOPOLIS"
"31119","2800605","SE","BARRA DOS COQUEIROS"
"23612","2603108","PE","CACHOEIRINHA"
"42331","3111705","MG","CANAA"
"73555","1706258","TO","CRIXAS DO TOCANTINS"
"46213","3131109","MG","INIMUTABA"
"744","1101435","RO","NOVA UNIAO"
"74640","4119251","PR","PINHAL DE SAO BENTO"
"52655","3163300","MG","SAO JOSE DO DIVINO"
"25739","2613701","PE","SAO LOURENCO DA MATA"
"5630","1508209","PA","VIGIA"
"90093","5100508","MT","ALTO PARAGUAI"
"33774","2903904","BA","BOM JESUS DA LAPA"
"90085","5102694","MT","CANABRAVA DO NORTE"
"74268","4107124","PR","DIAMANTE DO SUL"
"74365","4109658","PR","HONORIO SERPA"
"88803","4312377","RS","MONTE ALEGRE DOS CAMPOS"
"49050","3145307","MG","NOVO CRUZEIRO"
"50075","3150406","MG","PIEDADE DOS GERAIS"
"9571","2109908","MA","SANTA INES"
"52671","3163409","MG","SAO JOSE DO GOIABAL"
"38890","2929503","BA","SAO SEBASTIAO DO PASSE"
"53937","3169703","MG","TURMALINA"
"93246","5221577","GO","UIRAPURU"
"33219","2901106","BA","AMELIA RODRIGUES"
"92126","5205521","GO","COLINAS DO SUL"
"13188","2305233","CE","HORIZONTE"
"40266","3131158","MG","IPABA"
"37613","2923001","BA","NOVA VICOSA"
"28339","2706703","AL","PENEDO"
"49999","3150000","MG","PESCADOR"
"78999","4126207","PR","SAPOPEMA"
"4405","1508357","PA","VITORIA DO XINGU"
"41688","3102852","MG","ANGELANDIA"
"7730","2103802","MA","DOM PEDRO"
"4642","1504422","PA","MARITUBA"
"40487","3144359","MG","NAQUE"
"87300","4313441","RS","NOVO TIRADENTES"
"49654","3148301","MG","PAULA CANDIDO"
"50059","3150307","MG","PIEDADE DO RIO GRANDE"
"84778","4314555","RS","PIRAPO"
"69574","3542800","SP","RIBEIRA"
"25771","2613909","PE","SERRA TALHADA"
"56359","3201803","ES","DIVINO DE SAO LOURENCO"
"9636","2104057","MA","ESTREITO"
"73253","1711803","TO","JUARINA"
"4600","1504976","PA","NOVA IPIXUNA"
"728","1101476","RO","PRIMAVERA DE RONDONIA"
"51357","3156809","MG","SABINOPOLIS"
"51632","3158201","MG","SANTA MARIA DO SUACUI"
"84530","4127965","PR","TURVO"
"93289","5222203","GO","VILA BOA"
"74233","4101309","PR","ANTONIO OLINTO"
"56022","3200169","ES","AGUA DOCE DO NORTE"
"37214","2921005","BA","MATA DE SAO JOAO"
"51411","3157104","MG","SALTO DA DIVISA"
"32336","2806701","SE","SAO CRISTOVAO"
"87866","4319737","RS","SAO VALERIO DO SUL"
"566","1101708","RO","URUPA"
"27057","2700300","AL","ARAPIRACA"
"13730","2303709","CE","CAUCAIA"
"20273","2506301","PB","GUARABIRA"
"48712","3143609","MG","MORRO DA GARCA"
"75744","4122651","PR","ROSARIO DO IVAI"
"51730","3158706","MG","SANTANA DO GARAMBEU"
"26271","2616407","PE","VITORIA DE SANTO ANTAO"
"26310","2600054","PE","ABREU E LIMA"
"2003","1300144","AM","APUI"
"75183","4103958","PR","CAMPINA DO SIMAO"
"75264","4106852","PR","CRUZMALTINA"
"88285","4307450","RS","ESPERANCA DO SUL"
"93149","5209291","GO","GUARAITA"
"15857","2307650","CE","MARACANAU"
"41246","3145877","MG","ORIZANIA"
"96296","1718402","TO","PRESIDENTE KENNEDY"
"87548","4315552","RS","RIO DOS INDIOS"
"8893","2111201","MA","SAO JOSE DE RIBAMAR"
"28770","2708907","AL","SATUBA"
"53392","3167004","MG","SERRANOS"
"53597","3168002","MG","TAIOBEIRAS"
"53678","3168408","MG","TARUMIRIM"
"85049","4306353","RS","DEZESSEIS DE NOVEMBRO"
"40185","3123858","MG","ENTRE FOLHAS"
"45853","3129301","MG","IAPU"
"94170","1711100","TO","ITAPORA DO TOCANTINS"
"47279","3136405","MG","JOAQUIM FELICIO"
"95354","5216908","GO","PILAR DE GOIAS"
"25470","2612406","PE","SANHARO"
"53333","3166709","MG","SERRA DOS AIMORES"
"96156","1720903","TO","TAGUATINGA"
"53899","3169505","MG","TUMIRITINGA"
"40673","3103405","MG","ARACUAI"
"85510","4302600","RS","BRAGA"
"92142","1705557","TO","COMBINADO"
"36234","2916104","BA","ITAPARICA"
"48291","3141504","MG","MENDES PIMENTEL"
"52370","3161908","MG","SAO GONCALO DO RIO ABAIXO"
"78778","4125100","PR","SAO JOAO DO TRIUNFO"
"25895","2614501","PE","SURUBIM"
"10375","2201903","PI","BOM JESUS"
"1058","1200104","AC","BRASILEIA"
"4448","1501782","PA","BREU BRANCO"
"23574","2602902","PE","CABO DE SANTO AGOSTINHO"
"74780","4104055","PR","CAMPO BONITO"
"91804","5003488","MS","DOIS IRMAOS DO BURITI"
"86860","4311429","RS","LAJEADO DO BUGRE"
"14532","2307601","CE","LIMOEIRO DO NORTE"
"434","1100338","RO","NOVA MAMORE"
"91294","5106505","MT","POCONE"
"87483","4315073","RS","PORTO VERA CRUZ"
"88870","4319208","RS","SAO NICOLAU"
"39578","2932903","BA","VALENCA"
"4235","1501204","PA","BAIAO"
"43036","3115201","MG","CONCEICAO DA BARRA DE MINAS"
"44016","3120102","MG","COUTO DE MAGALHAES DE MINAS"
"91057","5105309","MT","LUCIARA"
"41343","3150158","MG","PIEDADE DE CARATINGA"
"74829","4123956","PR","SANTA MONICA"
"38830","2929206","BA","SAO FRANCISCO DO CONDE"
"52515","3162609","MG","SAO JOAO DO ORIENTE"
"2852","1304302","AM","URUCARA"
"16012","2400109","RN","ACARI"
"41092","3105509","MG","BARAO DE MONTE ALTO"
"42153","3110806","MG","CAMPANARIO"
"477","1100809","RO","CANDEIAS DO JAMARI"
"75370","4107009","PR","CURIUVA"
"74446","4111258","PR","ITAPERUCU"
"87475","4312302","RS","MIRAGUAI"
"74420","4117297","PR","NOVO ITACOLOMI"
"87564","4316428","RS","SAGRADA FAMILIA"
"1112","1200252","AC","EPITACIOLANDIA"
"42145","3127370","MG","GOIABEIRA"
"2356","1301704","AM","HUMAITA"
"45870","3129400","MG","IBERTIOGA"
"31577","2802908","SE","ITABAIANA"
"94811","1714203","TO","NATIVIDADE"
"5053","1505304","PA","ORIXIMINA"
"24996","2610004","PE","PALMARES"
"98914","5107156","MT","RESERVA DO CABACAL"
"51870","3159407","MG","SANTA RITA DO IBITIPOCA"
"6017","1600105","AP","AMAPA"
"40959","3104809","MG","AUGUSTO DE LIMA"
"79839","4103354","PR","BRAGANEY"
"33910","2904605","BA","BRUMADO"
"96873","5204656","GO","CAMPINACU"
"79596","4108700","PR","GRANDES RIOS"
"35793","2913903","BA","IPIAU"
"65250","3521200","SP","IPORANGA"
"787","1101468","RO","PIMENTEIRAS DO OESTE"
"51390","3157005","MG","SALINAS"
"39985","2930774","BA","SOBRADINHO"
"89656","4323101","RS","VICENTE DUTRA"
"40070","3100401","MG","ACAIACA"
"1120","1200013","AC","ACRELANDIA"
"4260","1500347","PA","AGUA AZUL DO NORTE"
"92614","5203104","GO","BALIZA"
"6033","1600204","AP","CALCOENE"
"16713","2403608","RN","EXTREMOZ"
"40207","3125952","MG","FERVEDOURO"
"17434","2407203","RN","MACAU"
"3085","1400472","RR","RORAINOPOLIS"
"78336","4122800","PR","SALGADO FILHO"
"5797","1507458","PA","SAO GERALDO DO ARAGUAIA"
"53457","3167301","MG","SILVEIRANIA"
"42420","3168051","MG","TAPARUBA"
"88129","4323754","RS","VITORIA DAS MISSOES"
"92479","1702406","TO","ARRAIAS"
"41254","3106309","MG","BELO ORIENTE"
"75248","4106456","PR","CORONEL DOMINGOS SOARES"
"44652","3123304","MG","DORES DO TURVO"
"44733","3123700","MG","ENGENHEIRO CALDAS"
"36072","2915304","BA","ITAGIMIRIM"
"41149","3144672","MG","NOVA BELEM"
"32131","2805703","SE","PROPRIA"
"74888","4127882","PR","TUNAS DO PARANA"
"96954","1700350","TO","ALIANCA DO TOCANTINS"
"4294","1501501","PA","BENEVIDES"
"90760","5102793","MT","CARLINDA"
"75345","4107736","PR","FERNANDES PINHEIRO"
"24279","2606408","PE","GRAVATA"
"98078","5004601","MS","ITAQUIRAI"
"74047","4113452","PR","LINDOESTE"
"96636","1714880","TO","NOVA OLINDA"
"38059","2925204","BA","POJUCA"
"78077","4121505","PR","REBOUCAS"
"41580","3161650","MG","SAO GERALDO DO BAIXIO"
"12254","2211308","PI","VALENCA DO PIAUI"
"3000","1400233","RR","CAROEBE"
"92886","5205513","GO","COCALZINHO DE GOIAS"
"43834","3119203","MG","COROACI"
"46639","3133204","MG","ITANHOMI"
"17850","2409308","RN","PATU"
"49875","3149408","MG","PEDRO TEIXEIRA"
"50873","3154408","MG","RESSAQUINHA"
"710","1101484","RO","SAO FELIPE D OESTE"
"52957","3164803","MG","SAO SEBASTIAO DO RIO PRETO"
"18830","2414308","RN","TIMBAUBA DOS BATISTAS"
"39632","2933208","BA","VERA CRUZ"
"40657","3103306","MG","ARACITABA"
"90239","5101209","MT","ARAGUAINHA"
"91197","5106000","MT","NORTELANDIA"
"4626","1505650","PA","PLACAS"
"50377","3151909","MG","POCRANE"
"93440","5219456","GO","SANTA RITA DO NOVO DESTINO"
"88706","4320578","RS","SETE DE SETEMBRO"
"73504","1720978","TO","TALISMA"
"88480","4322376","RS","UNISTALDA"
"85090","4300505","RS","ALPESTRE"
"23019","2600104","PE","AFOGADOS DA INGAZEIRA"
"75086","4101853","PR","ARIRANHA DO IVAI"
"34495","2907509","BA","CATU"
"34690","2908507","BA","CONCEICAO DO JACUIPE"
"1074","1200203","AC","CRUZEIRO DO SUL"
"76376","4112207","PR","JANIOPOLIS"
"36617","2918001","BA","JEQUIE"
"48330","3141702","MG","MESQUITA"
"92401","1715002","TO","NOVA ROSALANDIA"
"73148","1715150","TO","NOVO ALEGRE"
"49131","3145703","MG","OLIVEIRA FORTES"
"49492","3147501","MG","PASSABEM"
"57150","3204054","ES","PEDRO CANARIO"
"77917","4120606","PR","PRUDENTOPOLIS"
"40649","3157252","MG","SANTA BARBARA DO LESTE"
"5355","1506807","PA","SANTAREM"
"78697","4124707","PR","SAO JERONIMO DA SERRA"
"53651","3168309","MG","TAQUARACU DE MINAS"
"92789","5221452","GO","TROMBAS"
"16039","2400208","RN","ASSU"
"42030","3110202","MG","CAJURI"
"93416","1707009","TO","DIANOPOLIS"
"35653","2913200","BA","IBOTIRAMA"
"74403","4110656","PR","IRACEMA DO OESTE"
"37230","2921104","BA","MEDEIROS NETO"
"52094","3160504","MG","SANTO ANTONIO DO RIO ABAIXO"
"25992","2615003","PE","TAQUARITINGA DO NORTE"
"54356","3171709","MG","VIRGINIA"
"90042","5100359","MT","ALTO DA BOA VISTA"
"90174","5000906","MS","ANTONIO JOAO"
"42978","3114907","MG","CASA GRANDE"
"75337","4106803","PR","CRUZ MACHADO"
"86720","4308656","RS","GARRUCHOS"
"49077","3145406","MG","OLARIA"
"41327","3148756","MG","PEDRA BONITA"
"51217","3156106","MG","RITAPOLIS"
"25437","2612208","PE","SALGUEIRO"
"96776","5219753","GO","SANTO ANTONIO DO DESCOBERTO"
"98477","1304062","AM","TABATINGA"
"81680","4217956","SC","TIGRINHOS"
"5592","1508001","PA","TOME ACU"
"54097","3170503","MG","URUCANIA"
"96431","1722107","TO","XAMBIOA"
"96938","5200175","GO","AGUA FRIA DE GOIAS"
"73580","1703057","TO","BANDEIRANTE"
"4391","1502004","PA","CACHOEIRA DO ARARI"
"92061","5204953","GO","CAMPOS VERDES"
"4430","1502202","PA","CAPANEMA"
"86436","4307302","RS","ERVAL SECO"
"36137","2915601","BA","ITAMARAJU"
"76210","4111407","PR","IVAI"
"91154","5005806","MS","NIOAQUE"
"50113","3150604","MG","PIRACEMA"
"78271","4122503","PR","RONCADOR"
"73377","1720853","TO","SUCUPIRA"
"16136","2400703","RN","ALTO DO RODRIGUES"
"92630","5203203","GO","BARRO ALTO"
"41459","3107307","MG","BOCAIUVA"
"81787","4202875","SC","BRUNOPOLIS"
"85227","4305157","RS","CERRO GRANDE"
"4006","1503093","PA","GOIANESIA DO PARA"
"45799","3129004","MG","GUIRICEMA"
"76198","4111308","PR","ITAUNA DO SUL"
"47139","3135704","MG","JEQUITIBA"
"78417","4123204","PR","SANTA CECILIA DO PAVAO"
"52019","3160108","MG","SANTO ANTONIO DO GRAMA"
"56081","3205150","ES","VILA PAVAO"
"40002","3101631","MG","ALFREDO VASCONCELOS"
"61786","3507159","SP","BOM SUCESSO DE ITARARE"
"42455","3112307","MG","CAPELINHA"
"44555","3122801","MG","DOM VICOSO"
"61000","3515350","SP","EUCLIDES DA CUNHA PAULISTA"
"96679","1707652","TO","FIGUEIROPOLIS"
"76856","4114708","PR","MARIA HELENA"
"78115","4121703","PR","RESERVA"
"91537","5107701","MT","ROSARIO OESTE"
"40681","3158953","MG","SANTANA DO PARAISO"
"51896","3159506","MG","SANTA RITA DO ITUETO"
"418","1100320","RO","SAO MIGUEL DO GUAPORE"
"22250","2516201","PB","SOUSA"
"33995","2905008","BA","CACULE"
"98655","5102603","MT","CAMPINAPOLIS"
"43699","3118502","MG","CONSOLACAO"
"41980","3120839","MG","CUPARAQUE"
"5975","1502939","PA","DOM ELISEU"
"75329","4107546","PR","ESPIGAO ALTO DO IGUACU"
"90778","5103908","MT","GENERAL CARNEIRO"
"45519","3127602","MG","GOUVEA"
"92860","5209457","GO","GUARINOS"
"80527","4206652","SC","GUATAMBU"
"75442","4110078","PR","IMBAU"
"48496","3142502","MG","MONJOLOS"
"8494","2107506","MA","PACO DO LUMIAR"
"77372","4117800","PR","PALMITAL"
"95478","1717503","TO","PIUM"
"56200","3204252","ES","PONTO BELO"
"8770","2109007","MA","PORTO FRANCO"
"25330","2611705","PE","RIACHO DAS ALMAS"
"51055","3155306","MG","RIO MANSO"
"40622","3156452","MG","ROSARIO DA LIMEIRA"
"52710","3163607","MG","SAO JOSE DO MANTIMENTO"
"42560","3171154","MG","VERMELHO NOVO"
"16217","2401107","RN","AREIA BRANCA"
"96997","1703107","TO","BARROLANDIA"
"90395","5002001","MS","BATAIPORA"
"42951","3114808","MG","CARVALHOS"
"75175","4106001","PR","CONGONHINHAS"
"96830","1707553","TO","FATIMA"
"73199","1708254","TO","FORTALEZA DO TABOCAO"
"80829","4207684","SC","IPUACU"
"76090","4110805","PR","IRETAMA"
"88587","4311130","RS","JARI"
"4790","1504000","PA","LIMOEIRO DO AJURU"
"6025","1600535","AP","PORTO GRANDE"
"5452","1507300","PA","SAO FELIX DO XINGU"
"90026","5107297","MT","SAO JOSE DO POVO"
"6106","1600055","AP","SERRA DO NAVIO"
"93220","5221197","GO","TEREZOPOLIS DE GOIAS"
"30872","2910057","BA","DIAS D AVILA"
"93475","1707306","TO","DUERE"
"36510","2917508","BA","JACOBINA"
"47074","3135407","MG","JECEABA"
"14478","2307304","CE","JUAZEIRO DO NORTE"
"94919","5214705","GO","NOVA AMERICA"
"90387","5106158","MT","NOVA BANDEIRANTE"
"96555","5214861","GO","NOVA GLORIA"
"50032","3150208","MG","PIEDADE DE PONTE NOVA"
"56855","3204302","ES","PRESIDENTE KENNEDY"
"51799","3159001","MG","SANTANA DO RIACHO"
